Number,scRNA-seq dataset,Bulk dataset,Method,C-index_at_1800_genes,glmnet_se_1800_genes,glmnet_active_genes_1800,C-index_1000_or_1200_or_1100,glmnet_se_1000_or_1200_or_1100_genes,glmnet_active_genes_1000_or_1200_or_1100,Top_cindex_combo_KM_value_1800_genes,Top_cindex_combo_KM_value_1800_genes_seperates_risk?,KM_pvalue_that_is_close_to_top_performing_cindex_but_separates_survival_1800_genes,KM_pvalue_that_is_close_to_top_performing_cindex_but_separates_survival_1800_genes_pvalue,KM_pvalue_that_is_close_to_top_performing_cindex_but_separates_survival_1800_genes_correctly_seperates_risk?,Notes
65,edgeR,TCGA-COAD,edgeR (genes only + Tumor Stage),0.6838,,,0.6714,0.02606,3,5.79E-05,Y,NA,NA,NA,
66,edgeR,TCGA-COAD,edgeR (genes only + Tumor Stage + N Stage),0.7134,,,0.7036,0.0273,4,4.23E-09,Y,NA,NA,NA,
67,edgeR,TCGA-READ,edgeR (genes only),0.7134,,,0.6129,0.08074,39,6.33E-01,N,NA,NA,NA,
68,edgeR,TCGA-READ,edgeR (genes only + Tumor Stage),0.7398,,,0.6359,0.06001,18,1.32E-01,N,NA,NA,NA,
69,edgeR,TCGA-READ,edgeR (genes only + Tumor Stage + N Stage),0.7182,,,0.6173,0.08029,4,3.17E-02,Y,NA,NA,NA,
70,edgeR,TCGA-COAD + TCGA-READ,edgeR (genes only),0.5854,,,0.5811,0.01727,37,9.60E-02,N,NA,NA,NA,
71,edgeR,TCGA-COAD + TCGA-READ,edgeR (genes only + Tumor Stage),0.6714,,,0.6693,0.01685,27,1.24E-04,Y,NA,NA,NA,
72,edgeR,TCGA-COAD + TCGA-READ,edgeR (genes only + Tumor Stage + N Stage),0.6953,,,0.6838,0.01693,27,1.59E-08,Y,NA,NA,NA,
73,GSE81861_CRC_tumor,TCGA-COAD,MAD,0.5845,0.02282,15,NA,NA,NA,8.57E-01,N,NA,NA,NA,
74,GSE81861_CRC_tumor,TCGA-COAD,MAD + Tumor Stage,0.6453,0.02845,28,NA,NA,NA,8.70E-01,N,NA,NA,NA,
75,GSE81861_CRC_tumor,TCGA-COAD,MAD + Tumor Stage + N Stage,0.6865,0.02031,3,NA,NA,NA,1.45E-08,Y,NA,NA,NA,
76,GSE81861_CRC_tumor,TCGA-READ,MAD,0.6116,0.05349,14,NA,NA,NA,7.23E-01,N,NA,NA,NA,
77,GSE81861_CRC_tumor,TCGA-READ,MAD + Tumor Stage,0.6464,0.07234,3,NA,NA,NA,4.15E-03,Y,NA,NA,NA,
78,GSE81861_CRC_tumor,TCGA-READ,MAD + Tumor Stage + N Stage,0.6289,0.07135,3,NA,NA,NA,2.68E-02,Y,NA,NA,NA,
79,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,MAD,0.6029,0.01493,133,NA,NA,NA,6.10E-01,N,NA,NA,NA,
80,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,MAD + Tumor Stage,0.6527,0.02661,2,NA,NA,NA,1.55E-05,Y,NA,NA,NA,
81,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,MAD + Tumor Stage + N Stage,0.6852,0.02227,3,NA,NA,NA,6.16E-09,Y,NA,NA,NA,
82,GSE81861_CRC_tumor,TCGA-COAD,SDES,0.6048,0.02239,5,NA,NA,NA,6.68E-04,Y,NA,NA,NA,
83,GSE81861_CRC_tumor,TCGA-COAD,SDES + Tumor Stage,0.6844,0.02101,6,NA,NA,NA,3.50E-05,Y,NA,NA,NA,
84,GSE81861_CRC_tumor,TCGA-COAD,SDES + Tumor Stage + N Stage,0.7055,0.01617,7,NA,NA,NA,8.55E-06,Y,NA,NA,NA,
85,GSE81861_CRC_tumor,TCGA-READ,SDES,0.5746,0.07579,2,NA,NA,NA,2.40E-01,N,NA,NA,NA,
86,GSE81861_CRC_tumor,TCGA-READ,SDES + Tumor Stage,0.5941,0.04097,58,NA,NA,NA,4.04E-01,N,NA,NA,NA,
87,GSE81861_CRC_tumor,TCGA-READ,SDES + Tumor Stage + N Stage,0.6026,0.03845,57,NA,NA,NA,6.61E-01,N,NA,NA,NA,
88,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,SDES,0.6325,0.02056,208,NA,NA,NA,5.11E-01,N,NA,NA,NA,
89,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,SDES + Tumor Stage,0.6657,0.02312,134,NA,NA,NA,6.18E-01,N,NA,NA,NA,
90,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,SDES + Tumor Stage + N Stage,0.6901,0.02245,3,NA,NA,NA,1.59E-08,Y,NA,NA,NA,
91,GSE81861_CRC_tumor,TCGA-COAD,MiRNA,0.653,0.02389,27,NA,NA,NA,3.81E-01,N,NA,NA,NA,
92,GSE81861_CRC_tumor,TCGA-COAD,MiRNA + Tumor Stage,0.6972,0.02698,33,NA,NA,NA,3.88E-03,Y,NA,NA,NA,
93,GSE81861_CRC_tumor,TCGA-COAD,MiRNA + Tumor Stage + N Stage,0.7065,0.02098,32,NA,NA,NA,3.25E-02,Y,NA,NA,NA,
94,GSE81861_CRC_tumor,TCGA-READ,MiRNA,0.6737,0.04465,45,NA,NA,NA,3.47E-01,N,NA,NA,NA,
95,GSE81861_CRC_tumor,TCGA-READ,MiRNA + Tumor Stage,0.6957,0.05405,49,NA,NA,NA,3.73E-01,N,NA,NA,NA,
96,GSE81861_CRC_tumor,TCGA-READ,MiRNA + Tumor Stage + N Stage,0.6903,0.05482,49,NA,NA,NA,3.71E-01,N,NA,NA,NA,
97,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,MiRNA,0.6156,0.01916,277,NA,NA,NA,5.41E-01,N,NA,NA,NA,
98,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,MiRNA + Tumor Stage,0.6433,0.02611,7,NA,NA,NA,9.55E-02,N,NA,NA,NA,
99,GSE81861_CRC_tumor,TCGA-COAD + TCGA-READ,MiRNA + Tumor Stage + N Stage,0.6723,0.02404,3,NA,NA,NA,1.59E-08,Y,NA,NA,NA,
